,overall_run_index,simulation_run_index,consumer_index,utility
954,0,4,4,0.7583954315140528
955,0,5,4,0.7288735234981896
956,0,6,4,0.6310168465318632
957,0,7,4,-0.19384707107533672
958,0,8,4,-0.24722399211253973
959,0,9,4,0.8270599038153664
960,0,10,4,-0.15338287688637559
961,0,11,4,-0.11822559939944577
962,0,12,4,0.5303169675982752
963,0,13,4,0.7001758746580918
964,0,14,4,0.6300169996288019
965,0,15,4,0.6769106797080577
966,0,16,4,0.5610085381338215
967,0,17,4,0.8089013650997792
968,0,18,4,0.7056890349349583
969,0,19,4,-0.171215417000888
970,0,20,4,0.5683245371548491
971,0,21,4,-0.19035656821622965
972,0,22,4,0.6538680860679309
973,0,23,4,0.7296139643356484
974,0,24,4,0.7001758746580918
975,0,25,4,0.8052476189423485
976,0,26,4,0.7396747013913876
977,0,27,4,-0.24280908974965779
978,0,28,4,0.6916100230967327
979,0,29,4,-0.24722399211253973
980,0,30,4,0.6804719472988459
981,0,31,4,0.6877776786848249
982,0,32,4,-0.17396312445352707
983,0,33,4,0.7342311914004571
984,0,34,4,0.6605880131257218
985,0,35,4,0.6383264129168922
986,0,36,4,-0.10643174315534543
987,0,37,4,0.6673725237443784
988,0,38,4,0.7200140184956192
989,0,39,4,-0.171215417000888
990,0,40,4,-0.23651173203616813
991,0,41,4,-0.28179810792019544
992,0,42,4,0.7396747013913876
993,0,43,4,0.8009568876278464
994,0,44,4,0.6660265627492495
995,0,45,4,0.594668914006776
996,0,46,4,0.663237812263402
997,0,47,4,0.6069169101139213
998,0,48,4,-0.21795499344541547
999,0,49,4,0.6538680860679309
1000,0,0,0,0.6593499850515459
1001,0,1,0,-0.12340168959811229
1002,0,2,0,0.6692326704442919
1003,0,3,0,-0.17406455773484705
1004,0,4,0,0.5174599023285463
1005,0,5,0,0.8062732265355735
1006,0,6,0,-0.2502483744143826
1007,0,7,0,0.63867114893196
1008,0,8,0,0.5893912633168062
1009,0,9,0,0.5174599023285463
1010,0,10,0,0.6692326704442919
1011,0,11,0,-0.12340168959811229
1012,0,12,0,0.6692326704442919
1013,0,13,0,-0.2559093681614905
1014,0,14,0,0.6446764698461551
1015,0,15,0,0.5558367462899197
1016,0,16,0,-0.16592319028053215
1017,0,17,0,0.7190887064500121
1018,0,18,0,0.6342470742840329
1019,0,19,0,-0.1556367302372224
1020,0,20,0,0.664306464864003
1021,0,21,0,-0.2603672391240075
1022,0,22,0,-0.20492283107536421
1023,0,23,0,0.6792124020038734
1024,0,24,0,-0.16250116877908896
1025,0,25,0,0.7190887064500121
1026,0,26,0,0.8062732265355735
1027,0,27,0,-0.28180437264577607
1028,0,28,0,0.6792124020038734
1029,0,29,0,-0.2559093681614905
1030,0,30,0,0.6284069119087398
1031,0,31,0,-0.20492283107536421
1032,0,32,0,0.6924342456003933
1033,0,33,0,0.6446764698461551
1034,0,34,0,0.6983901469478493
1035,0,35,0,0.7939439654119403
1036,0,36,0,-0.16592319028053215
1037,0,37,0,0.6542640771780136
1038,0,38,0,0.7142359608901373
1039,0,39,0,-0.2502483744143826
1040,0,40,0,-0.2987264571039985
1041,0,41,0,0.7579581968443428
1042,0,42,0,0.6542640771780136
1043,0,43,0,-0.21616212286121206
1044,0,44,0,0.7579581968443428
1045,0,45,0,0.6223900352469236
1046,0,46,0,0.6284069119087398
1047,0,47,0,0.6314447068010701
1048,0,48,0,-0.21955486843089667
1049,0,49,0,0.6137698904512598
1050,0,0,1,0.7495659563383912
1051,0,1,1,-0.14589284337298825
1052,0,2,1,0.6609340566706443
1053,0,3,1,-0.20492283107536421
1054,0,4,1,0.772368798398192
1055,0,5,1,0.7939439654119403
1056,0,6,1,0.6223900352469236
1057,0,7,1,-0.16250116877908896
1058,0,8,1,-0.2087518006718826
1059,0,9,1,0.6941659606050796
1060,0,10,1,0.7190887064500121
1061,0,11,1,0.6137698904512598
1062,0,12,1,0.6125832790558696
1063,0,13,1,-0.2263640464194396
1064,0,14,1,0.796049576260959
1065,0,15,1,0.772368798398192
1066,0,16,1,0.7939439654119403
1067,0,17,1,0.7142359608901373
1068,0,18,1,0.6983901469478493
1069,0,19,1,-0.24757253853901653
1070,0,20,1,0.7142359608901373
1071,0,21,1,0.6792124020038734
1072,0,22,1,0.7142359608901373
1073,0,23,1,-0.16250116877908896
1074,0,24,1,-0.16250116877908896
1075,0,25,1,-0.14665290551441418
1076,0,26,1,0.7579581968443428
1077,0,27,1,-0.16536754107449397
1078,0,28,1,0.8062732265355735
1079,0,29,1,0.6430955000442373
1080,0,30,1,0.6192705739812745
1081,0,31,1,0.63867114893196
1082,0,32,1,-0.2987264571039985
1083,0,33,1,0.6792124020038734
1084,0,34,1,0.6342470742840329
1085,0,35,1,-0.14665290551441418
1086,0,36,1,-0.25939808101807293
1087,0,37,1,0.6223900352469236
1088,0,38,1,-0.2559093681614905
1089,0,39,1,0.772368798398192
1090,0,40,1,0.796049576260959
1091,0,41,1,0.7102334188869119
1092,0,42,1,0.5174599023285463
1093,0,43,1,0.664306464864003
1094,0,44,1,0.63867114893196
1095,0,45,1,0.6342470742840329
1096,0,46,1,0.6941659606050796
1097,0,47,1,0.6430955000442373
1098,0,48,1,0.686761028224347
1099,0,49,1,-0.24757253853901653
1100,0,0,2,-0.10599868438738187
1101,0,1,2,-0.2502483744143826
1102,0,2,2,0.7190887064500121
1103,0,3,2,-0.16592319028053215
1104,0,4,2,0.6342470742840329
1105,0,5,2,-0.16592319028053215
1106,0,6,2,0.6192705739812745
1107,0,7,2,0.6542640771780136
